batch;experiment_id;optuna_study_id;dataset_name;model_name;method_name;num_results;avg_test_acc_fold;std_test_acc_fold;std_err_test_acc_fold;sq_std_err;best_avg_val_acc_fold;avg_acc_diff_fold;best_avg_val_acc_epoch_fold;best_avg_train_loss_fold;best_avg_train_loss_epoch_fold;fold;required_folds;num_completed_trials_fold;best_trial_number
eta;9;41;ENZYMES;GCN;if_mixup;3;0.727777779;0.012729391;0.007349317;5.40125E-05;0.760416687;-0.032638907;800;0.37840122;1000;2;5;20;1
eta;9;46;ENZYMES;GCN;if_mixup;3;0.741666655;0.036324157;0.020971762;0.000439815;0.854166687;-0.112500032;80;0.321854204;270;3;5;20;14
eta;9;49;ENZYMES;GCN;if_mixup;3;0.677777767;0.031549495;0.018215109;0.00033179;0.708333313;-0.030555546;790;0.388542265;970;4;5;20;7
eta;10;33;ENZYMES;GCN;submix;3;0.736111124;0.009622495;0.00555555;3.08641E-05;0.75;-0.013888876;380;0.33749947;560;0;5;20;10
eta;10;37;ENZYMES;GCN;submix;3;0.727777779;0.017347234;0.01001543;0.000100309;0.770833313;-0.043055534;440;0.596891224;630;1;5;20;13
eta;10;42;ENZYMES;GCN;submix;3;0.741666675;0.008333325;0.004811248;2.31481E-05;0.8125;-0.070833325;720;0.586524963;810;2;5;20;5
eta;10;45;ENZYMES;GCN;submix;3;0.805555562;0.0173472;0.010015411;0.000100308;0.84375;-0.038194438;180;0.237943009;370;3;5;20;16
eta;10;50;ENZYMES;GCN;submix;3;0.658333341;0.025000006;0.01443376;0.000208333;0.729166687;-0.070833345;280;0.472298115;430;4;5;20;6
eta;11;52;ENZYMES;GCN;ged_mixup;3;0.733333329;0.022047929;0.012729378;0.000162037;0.729166687;0.004166643;570;0.073269501;700;0;5;20;19
eta;11;53;ENZYMES;GCN;ged_mixup;3;0.716666679;0.014433777;0.008333345;6.94446E-05;0.729166687;-0.012500008;390;0.538110971;550;1;5;20;15
eta;11;55;ENZYMES;GCN;ged_mixup;3;0.747222225;0.004811248;0.002777775;7.71603E-06;0.78125;-0.034027775;510;0.690198004;710;2;5;20;16
eta;11;57;ENZYMES;GCN;ged_mixup;3;0.772222221;0.02097177;0.012108057;0.000146605;0.822916687;-0.050694466;360;0.299189866;520;3;5;20;9
eta;11;59;ENZYMES;GCN;ged_mixup;3;0.636111101;0.004811248;0.002777775;7.71603E-06;0.71875;-0.082638899;230;1.022891402;430;4;5;20;0
eta;12;51;ENZYMES;GCN;g_mixup;3;0.711111108;0.041943512;0.024216098;0.000586419;0.677083313;0.034027795;420;0.244498491;610;0;5;20;4
eta;12;54;ENZYMES;GCN;g_mixup;3;0.625;0.033333361;0.019245025;0.000370371;0.78125;-0.15625;190;0.553877771;390;1;5;20;5
eta;12;56;ENZYMES;GCN;g_mixup;3;0.711111108;0.033678761;0.019444442;0.000378086;0.75;-0.038888892;750;0.596913397;770;2;5;17;6
eta;12;58;ENZYMES;GCN;g_mixup;3;0.741666675;0.016666651;0.009622495;9.25924E-05;0.822916687;-0.081250012;380;0.366177529;570;3;5;20;6
eta;12;60;ENZYMES;GCN;g_mixup;3;0.677777787;0.004811248;0.002777775;7.71603E-06;0.677083313;0.000694474;520;0.493421197;720;4;5;20;15
eta;13;61;PROTEINS;GCN;emb_mixup;3;0.693572481;0.037607603;0.02171276;0.000471444;0.780898869;-0.087326388;120;0.555347502;170;0;5;20;11
eta;13;62;PROTEINS;GCN;emb_mixup;3;0.57100149;0.04939524;0.028518355;0.000813297;0.713483155;-0.142481665;340;0.544448256;390;1;5;20;16
eta;13;63;PROTEINS;GCN;emb_mixup;3;0.727952182;0.002589009;0.001494765;2.23432E-06;0.797752798;-0.069800615;930;0.491046786;980;2;5;20;16
eta;13;64;PROTEINS;GCN;emb_mixup;3;0.756756743;0.015604086;0.009009024;8.11625E-05;0.770949721;-0.014192979;120;0.464146107;230;3;5;20;18
eta;13;65;PROTEINS;GCN;emb_mixup;3;0.755255262;0.010402736;0.006006022;3.60723E-05;0.793296099;-0.038040837;320;0.52374655;480;4;5;20;5
eta;14;66;PROTEINS;GCN;geomix;3;0.730941693;0.016168392;0.009334825;8.7139E-05;0.769662917;-0.038721224;60;0.461607099;240;0;5;20;16
eta;14;67;PROTEINS;GCN;geomix;3;0.556053797;0.045510723;0.026275628;0.000690409;0.730337083;-0.174283286;630;0.655264914;800;1;5;20;9
eta;14;68;PROTEINS;GCN;geomix;3;0.711509724;0.025890163;0.014947693;0.000223434;0.803370774;-0.091861049;620;0.394714683;690;2;5;14;3
eta;14;69;PROTEINS;GCN;geomix;3;0.777777791;0.010402701;0.006006002;3.60721E-05;0.770949721;0.00682807;350;0.378325075;550;3;5;20;11
eta;14;70;PROTEINS;GCN;geomix;3;0.806306303;0.023835583;0.01376148;0.000189378;0.78212291;0.024183393;230;0.481092781;410;4;5;20;7
eta;15;71;PROTEINS;GCN;ged_mixup;3;0.695067267;0.028004452;0.016168378;0.000261416;0.786516845;-0.091449579;70;0.403723478;270;0;5;20;1
eta;15;72;PROTEINS;GCN;ged_mixup;3;0.680119574;0.006849875;0.003954777;1.56403E-05;0.730337083;-0.050217509;170;0.548253357;270;1;5;20;3
