experiment_id,optuna_study_id,dataset_name,model_name,method_name,num_results,avg_test_acc_fold,std_test_acc_fold,std_err_test_acc_fold,best_avg_val_acc_fold,avg_acc_diff_fold,best_avg_val_acc_epoch_fold,best_avg_train_loss_fold,best_avg_train_loss_epoch_fold,fold,required_folds,num_completed_trials_fold,best_trial_number
1,1,MUTAG,GCN,s_mixup,3,0.7631579041481018,0.026315808296203613,0.015193439003755744,1,-0.2368420958518982,540,0.42662373185157776,680,0,5,20,18
1,2,MUTAG,GCN,s_mixup,3,0.7456140319506327,0.015193439003755735,0.008771936098734534,0.9000000357627869,-0.15438600381215417,90,0.3965911865234375,270,1,5,20,21
1,63,MUTAG,GCN,s_mixup,3,0.7631579041481018,0,0,0.9000000357627869,-0.13684213161468506,440,0.4349660873413086,420,2,5,20,1
1,54,MUTAG,GCN,s_mixup,3,0.8828828930854797,0.015604052028704019,0.009009003639221191,0.9354838132858276,-0.0526009202003479,370,0.26577842235565186,450,3,5,20,17
1,47,MUTAG,GCN,s_mixup,3,0.8558558821678162,0.015604052028704019,0.009009003639221191,0.9354838132858276,-0.07962793111801147,20,0.4551528990268707,180,4,5,20,0
2,3,MUTAG,GIN,s_mixup,3,0.8157894611358643,0,0,0.8999999761581421,-0.08421051502227783,400,0.2702818214893341,520,0,5,20,9
2,11,MUTAG,GIN,s_mixup,3,0.8245613972345988,0.015193439003755735,0.008771936098734534,1,-0.17543860276540124,260,0.3509352505207062,330,1,5,20,21
2,66,MUTAG,GIN,s_mixup,3,0.8245614171028137,0.0401980351501733,0.023208346414846592,0.9666666388511658,-0.14210522174835205,120,0.2862738370895386,260,2,5,20,20
2,51,MUTAG,GIN,s_mixup,3,0.7837837735811869,0.04681219049886975,0.02702703078587849,0.9677419066429138,-0.18395813306172693,110,0.3587373197078705,310,3,5,20,1
2,44,MUTAG,GIN,s_mixup,3,0.792792797088623,0.015604052028704019,0.009009003639221191,0.9677419066429138,-0.17494910955429077,240,0.3837158977985382,430,4,5,20,15
